estimator,estimator__act,estimator__learning_rate,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.002497817290093775,3,179,0.0725753418669918,-0.33490769812422866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.018186534688099533,4,158,0.03642069520071965,-0.3365016632771586
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0007904717922346836,4,129,0.07050340716767138,-0.3368127089377265
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0005598470358718654,4,167,0.060818712856135014,-0.3371328055502498
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.005560535915586254,2,30,0.02429175010956013,-0.33830368227537194
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.010851258797403686,3,33,0.06839621344098774,-0.33884401370836625
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.021020085353113914,2,21,0.07547290571361066,-0.33955862011819066
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.01602627042043052,5,174,0.018187834307211995,-0.3396181906775153
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.000677848778619081,4,61,0.04031259621511399,-0.3408712881699152
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0029102827108726764,4,48,0.07145347940968584,-0.34293854375618577
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.003126505349151963,2,59,0.010559062435605589,-0.343358991794989
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.006889863805075988,4,151,0.12119107600967167,-0.34636417200341524
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0033808284308997076,5,60,0.06575973448885108,-0.3469954534408097
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.00043014358868493263,2,181,0.08808578845656391,-0.3474977398017877
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0019865775849412922,5,149,0.03282843868783626,-0.34760068261722127
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.005801212941729026,4,76,0.040378509912885295,-0.3488583935547512
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.016244200498051708,2,36,0.059756451888073076,-0.3493194500346603
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0003754065507410677,4,186,0.10815882470874674,-0.3497249750728217
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.00036994970269653486,5,158,0.10913244979979043,-0.3506347861826808
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0010382994890277759,2,28,0.040313288882284935,-0.3514588029549442
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.0006305801427346323,5,181,0.07529012752170874,-0.3519449419802002
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.000955817036596786,3,87,0.050060628577532476,-0.35535293135677826
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.004008816142957219,3,154,0.08313539307974517,-0.3554382659440505
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.003416562997912651,2,184,0.053592419765148974,-0.3557286260686111
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0006530906804352035,4,156,0.11363538452294697,-0.35761648174120425
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.00030431288188362233,4,108,0.08325805519943205,-0.35837662519341784
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.002057499215133549,5,81,0.09916025838612319,-0.35841222284694796
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0013851698499050854,3,140,0.028926055263152384,-0.360008344731856
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.003091609406193627,4,188,0.07024274551691524,-0.361335193572431
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.00944207196361896,3,156,0.13626723881830646,-0.3621330903347245
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.00827484345938796,5,83,0.06379339514018532,-0.3636943840382776
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0028664329317528215,5,193,0.08190595667879158,-0.3642270631661274
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0012421589526942938,5,174,0.07417773722414048,-0.36459785309146336
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0005218123783442094,4,131,0.05480243495441963,-0.365092677104402
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.018575633718410374,3,156,0.08331758163526812,-0.3655552890799788
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.005431479351452157,3,175,0.13649945924604046,-0.366058828551189
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00030191726920879086,3,79,0.027090024728320606,-0.3667031027717792
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0037680998306395047,2,151,0.09933782718501583,-0.3670914081586159
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.0008966127426275346,3,180,0.12174128605461568,-0.36711525184221494
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0004486282674362548,3,148,0.11526975339033997,-0.36843563831938186
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.002440388024250521,3,152,0.10561157319315366,-0.36899576590930067
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.00036842225569368506,3,124,0.07200240072611198,-0.36900252636552966
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0006909127039129408,5,68,0.07293107403848421,-0.3694027361285746
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.0004857099856887113,3,103,0.025663858890992708,-0.36976627247012556
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.010204370388847266,3,25,0.01093716647604462,-0.37005180023641976
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.0004844832730168765,1,181,0.12327954960713851,-0.3701897204274574
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0009432515809078583,4,96,0.03893164338443175,-0.37024196362923345
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.0012542372396562177,4,147,0.08782953594061094,-0.3704287693993425
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0020223598339446777,5,187,0.09494963371238616,-0.3711447584533874
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.004938863080412553,2,113,0.06391000081710782,-0.3718641533870684
